preco,endereco,detalhe_localizacao,caracteristicas,descricao
R$ 650.000,Rua Cássia,"Jardim Francano, Franca","300 m² tot.
2 quartos
3 ban.
5 vagas","Imóvel amplo com 300 m² 2 dormitórios sendo 1 suíte. 3 banheiros. 2 salas aconchegantes. Sistema de água quente com boia. Garagem descoberta para até 5 carros. Área gourmet pronta para receber família e amigos. Amplo espaço externo que permite construção de jardim ou piscina. Imóvel completo, com excelente metragem e lazer garantido, ideal para quem busca conforto e espaço para aproveitar bons momentos."
R$ 1.695.000,Endereço não informado,"Franca, São Paulo","275 m² tot.
4 quartos
4 ban.
3 vagas","Casa Nova de Alto Padrão à Venda Santa Lúcia 4 Dormitórios 209 m² R 1. 695. 000. Apresentamos esta residência incrível e recém-construída, com design contemporâneo, acabamentos sofisticados e um projeto que valoriza cada detalhe. Localizada no charmoso bairro Santa Lúcia, ela une conforto, elegância e segurança para sua família. Detalhes do Imóvel. Terreno 275 m² 11x25. Área construída 209 m² Garagem para 3 carros. 4 dormitórios amplos 2 suítes 1 demi-suíte. Sala e cozinha integradas com pé-direito elevado. Área gourmet completa. Piscina com hidromassagem e aquecimento trocador de calor. Churrasqueira elétrica. Sistema de segurança com câmeras e cercas. Aquecimento solar com boiler de 600 litros. Acabamentos e Diferenciais. Esquadrias metálicas linha gold. Fechadura eletrônica. Portão ripado e fachada com pele de vidro. Revestimentos PortoBello e Eliane. Pedras nobres na fachada, calçada e área gourmet. Mármore Zurick branco fosco ultracompacto. Portas e rodapés Pormade na cor Capuccino. Closet de 7 metros com portas reflecta bronze. Porta-balcão automatizada. Marcenaria completa com puxadores gold e acabamento almofadado. Tintas emborrachadas com detalhes em arenito. Valor de Venda R 1. 695. 000, 00. Atendemos também brasileiros que vivem no Japão Conte com nossa equipe especializada para auxiliar em todo o processo de compra à distância com segurança e agilidade. Agende sua visita com a Kazoku Imóveis"
R$ 1.550.000,Rua Francisco Marcolino 705,"Vila Santos Dumont, Franca","161 m² tot.
3 quartos
3 ban.
3 vagas",161m² 03 Suítes. Lavabo. Despensa. Cozinha. Lavanderia. Sala de tv e Jantar. Varanda. 03 Vagas de garagem
R$ 1.150.000,Endereço não informado,"Centro, Franca","127 m² tot.
3 quartos
4 ban.
3 vagas","Vende-se Ótimo apartamento no Centro de Franca, 3 três suítes, uma delas com sacada e banheiro com duas cubas, sala ampla integrada com a cozinha, lavabo, lavanderia e 3 vagas de garagem. Área de Lazer com piscina aquecida, sauna, área de churrasco, salão de festas com espaço gourmet, academia, home cinema, sala de jogos, brinquedoteca, playground, portaria e hall de entrada com controle facial."
R$ 5.000.000,Franca 90,"Morada do Verde, Franca","1600 m² tot.
3 quartos
5 ban.
4 vagas","Vende-se linda casa morada do verde. 1600 metros de terreno. Amplo jardim. 3 dormitórios, todos com suíte, guarda roupas planejados e ar condicionado. Suíte master com banheira e vista para o jardim. Cozinha rica em armários, integrada com sala de jantar. Sala de tv. Escritório. Lavabo. Área de claridade. Área Gourmet ampla completa com churrasqueira. Piscina aquecida"
R$ 2.300.000,Endereço não informado,"Franca, São Paulo","216 m² tot.
3 quartos
4 ban.","Vende-se Condomínio Piemonte – Casa com 3 suítes, sala de tv, sala de jantar, sala de visita, lavabo, cozinha planejada com torre de fornos, geladeira, lava-louças e fogão de indução, lavanderia, despensa com armários, roupeiro no corredor, rico em armários, suíte master com closet e bancada dupla, banheiros com box instalados, janelas automáticas nos dormitórios, área gourmet com ilha, fogão Invitta e mesa rústica acoplada, toldo automático, piscina em pedra Hijau com cascata e hidromassagem, aquecimento solar, garagem coberta para 2 carros, ponto para carro elétrico, paisagismo formado com irrigação automática, piso de alto padrão, portão eletrônico, excelente acabamento, construção moderna de primeira linha, 360m² de terreno, 216m² de construção, localização privilegiada em condomínio fechado com segurança e lazer completo."
R$ 750.000,Endereço não informado,"Residencial Amazonas, Franca","176 m² tot.
3 quartos
3 ban.
2 vagas","3 Dormitórios c/ Armários sendo 1 Suíte. Sala de tv e Jantar Integrados c/ Sacada. Cozinha com Armários e Despensa. Banheiros c/ Armários e Blindex. Área Gourmet c/ Jacuzi, Ducha e Lavabo. Garagem para 2 Carros. Elevador Social. Acabamento Fino. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: ghSvIfnqwefetns1"
R$ 400.000,Endereço não informado,"Jardim Piratininga, Franca","100 m² tot.
3 quartos
2 ban.
2 vagas","vende-se – jardim piratininga em localização privilegiada! Conforto e alta valorização para você e sua família! Características do imóvel: - 100 m² de área privativa. - 3 dormitórios, sendo 1 suíte. - Acabamento em porcelanato. - Cozinha e banheiros com armários planejados. - Projeto moderno. - 2 vagas de garagem. Ótimas opções: - Apartamento térreo por R$400 mil. - Andar superior com sacada por R$420 mil. - - Excelente localização, em área de alta valorização, com fácil acesso a comércios e serviços."
R$ 280.000,Endereço não informado,"Vila Totoli, Franca","60 m² tot.
2 quartos
1 banheiro
1 vaga","Vende-se Apartamento no Jardim Dr. Antônio Petraglia, 2 dormitórios, sendo 1 suíte, Armários planejados nos quartos, cozinha e lavanderia, otimizando espaços, Cozinha equipada com cooktop e coifa, 2 Vagas de Garagem cobertas. Condomínio econômico: apenas R$ 180, 00 (inclui água e gás). Localização estratégica no Sul de Franca, perfeita para quem busca praticidade e qualidade de vida."
R$ 799.000,Rua Caieiras 590,"Jardim Francano, Franca","125 m² tot.
3 quartos
5 ban.
3 vagas","125m² 03 dormitórios, sendo 03 suítes, 02 com sacada. Sala de tv. Sala de jantar. Cozinha. 2 Lavabos. Área de serviço. 3 vagas de garagem. Sacada. Área útil de 128 m² Lazer completo. Portaria 24h"
R$ 260.000,Endereço não informado,"Residencial São Jerônimo, Franca","4999 m² tot.
2 quartos
2 ban.
1 vaga","Vende-se Apartamento Residencial São Jerônimo. Espetáculo de apartamento, ideal para quem busca conforto, praticidade e ótima localização! Características do imóvel: 2 dormitórios (sendo 1 suíte ampla) Cozinha rica em armários planejados. Cooktop e coifa instalados. Sala ampla e bem iluminada. Lavanderia com armários. Banheiros com box e armários. Piso porcelanato. Sanca com iluminação em led. Apartamento no pavimento superior. Localização privilegiada. 1 vaga de garagem."
R$ 215.000,Franca 3255,"Vila Santa Cruz, Franca","49 m² tot.
2 quartos
1 banheiro
1 vaga","Vende-se apartamento franca garden. - 2 dormitórios, ambos com guarda roupas planejados. - Sala. - Cozinha rica em armários. - Lavanderia com pedra estendida e armários. - Banheiro social com box e armários planejados. - Apartamento todo em porcelanato. - Uma de garagem"
R$ 580.000,Rua Maria Marta Junqueira,"Parque Dom Pedro I, Franca","250 m² tot.
3 quartos
4 ban.
2 vagas","Casa à Venda Parque Dom Pedro. Valor R 580. 000. Parque Dom Pedro. Avalia troca por imóvel de menor valor. Características do imóvel. 250 m² de terreno 150 m² de construção. 2 vagas de garagem. Sala de estar com lavabo. Sala de jantar. Cozinha com armários planejados. Lavanderia. Sala de tv. 3 dormitórios sendo 1 suíte com guarda-roupa planejado. Banheiros com armários. Área de churrasco com armários. Quarto de despejo. Imóvel pronto para morar, com acabamentos de qualidade e excelente distribuição dos ambientes. Entre em contato para agendar sua visita"
R$ 360.000,Endereço não informado,"Franca, São Paulo","125 m² tot.
2 quartos
1 banheiro
2 vagas","2 Dormitórios sendo um completo com armários&#xD; Banheiro social com armário e box instalados&#xD; Cozinha bom armários&#xD; Sala com painel de tv&#xD; 2 vagas de garagem cobertas&#xD; Excelente localização, próximo a avenidas, postos de combustíveis, supermercados, etc. &#xD; Aceita financiamento&#xD; &#xD; Entre em contato&#xD; João Pàulo&#xD; (16) Ver dados - 31/08/2025"
R$ 850.000,Endereço não informado,"Parque Santa Hilda, Franca","180 m² tot.
3 quartos
3 ban.",Linda casa no Primo Meneghetti ll&#xD; 3 Quartos sendo um suíte &#xD; Sala tv&#xD; Sala de jantar &#xD; Cozinha &#xD; Banheiro social &#xD; Lavabo&#xD; Piscina &#xD; Lavanderia &#xD; Garagem para 2 carros. - 31/08/2025
R$ 490.000,Franca 1000,"Franca, São Paulo","90 m² tot.
2 quartos
2 ban.
2 vagas","Lindo apartamento à venda, localizado na cidade de Franca, no bairro Jardim Santa Lúcia. O imóvel tem 2 quartos, sendo 1 suíte, possui 2 banheiros, 2 salas e 2 vagas de garagem. Área total de 90m². Valor do imóvel: R$ 490. 000, 00"
R$ 1.990.000,Franca 450,"Franca, São Paulo","243 m² tot.
3 quartos
3 ban.
5 vagas",Vende-se lindo sobrado recem construido no jardim botÂnico. 243 m² do construção. 297 m² de terreno - Parte alta do bairro. 3 suítes máster (todas com closet / 2 com chuveiro duplo saindo do teto) Cozinha auxiliar 2 andar. Rica em planejados. Rica em blindex. Rica em led. Janelas automatizadas. Portas dos dormitórios com maçaneta digital. Cozinha / sala / sala de jantar integradas. Churrasqueira flutuante. Aquecimento solar. Piscina aquecida com iluminação e cascata. Ducha com água quente. Banheiro parte de baixo. Lavanderia. Quarto de despejo. Garagem para 5 carros. Coifa. Cooktop. Bosserie na sala e sanca. Teto parte de baixo em cimento queimado. Pilar redondo. Rica em pedra moledo e ripado de concreto. Cobertura telhado moderno com manta asfáltica de alumínio. Caixa d'água 1000lts + boiler de 400lts. Tubulação ar condicionado pronta esperando os aparelhos. Paisagismo completo
R$ 1.280.000,Rua Olga Baruta,"Franca, São Paulo","250 m² tot.
3 quartos
3 ban.
3 vagas","Linda Casa à Venda no Residencial Tellini Francasp. Preço R 1. 280. 000, 00. Descrição. Apresentamos esta residência incrível e moderna no Residencial Tellini, um dos bairros mais valorizados de Francasp. Localizada em uma região segura e com excelente vizinhança, esta casa foi projetada para oferecer conforto, design contemporâneo e funcionalidade. Características do imóvel. Terreno de 250 m² e 200 m² de área construída. Área gourmet perfeita para receber amigos e familiares. Garagem para até 3 veículos grandes. Piscina com cascata, hidromassagem e aquecimento solar. Sistema de aquecimento solar em toda a casa. Casa totalmente automatizada. 3 quartos, sendo uma suíte master com closet. Cozinha moderna integrada à sala de estar e copa. Escritório privativo, lavabo, lavanderia e despensa. Vizinhos já definidos, garantindo tranquilidade e segurança. Diferenciais. Esta é uma oportunidade única para quem busca qualidade de vida, tecnologia e sofisticação no mesmo lugar. Agende já sua visita e conheça todos os detalhes deste imóvel exclusivo."
R$ 550.000,Franca 900,"Jardim Ângela Rosa, Franca","125 m² tot.
3 quartos
2 ban.
2 vagas",Casa a venda jardim Ângela rosa. - Em construção. - Informações do Imóvel: - Terreno: 125 m² - Área construída: 100 m² - Vizinhança estabelecida. - Portão automatizado. - Preparação para água quente. - Acabamento fino. Ambientes internos: 3 Dormitórios (sendo 1 Suíte) &#x1f6bf; 1 Banheiro Social. Sala integrada à Cozinha com Planejados. Lavanderia Coberta. 2 Vagas de Garagem. Excelente localização no Jardim Ângela Rosa ii
R$ 619.000,Franca 90,"Vila Totoli, Franca","110 m² tot.
3 quartos
2 ban.
2 vagas","Vende-se linda casa vila totoli. - 03 Dormitórios sendo 01 suíte. - Área gourmet com armários. - Cozinha com armários. - Sala, copa e cozinha pé direito alto. - Banheiros com armários. - Lavanderia. - Todas esquadrias em alumínio. - Garagem para 02 carros. - Acabamento de pintura tudo em arenito"
R$ 780.000,Endereço não informado,"Jardim Barão, Franca","270 m² tot.
3 quartos
3 ban.
4 vagas","Estuda 50% de Troca. 3 Dormitórios sendo 1 Suíte. Sala de tv Ampla. Cozinha c/ Armários e Copa. Banheiros c/ Armários e Blindex. Lavanderia Coberta. Varanda Gourmet c/ Banheiro. Garagem para 4 Carros. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: cnph70WtRd05a2qj"
R$ 350.000,Endereço não informado,"Franca, São Paulo","220 m² tot.
2 quartos
1 banheiro
4 vagas","2 Dormitórios. Sala de tv e Jantar Integrados. Cozinha. Lavanderia Coberta. Área de Churrasco. Iluminação Moderna. Vaga para 4 Carros. Acabamento Fino. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: bJjJjuoiZuhz49at"
R$ 890.000,Endereço não informado,"Jardim Noêmia, Franca","300 m² tot.
3 quartos
3 ban.
10 vagas","3 Dormitórios sendo 1 Suíte. Sala de tv. Cozinha Ampla. Banheiro Modernos. Lavanderia Coberta. Varanda Gourmet c/ Lavabo. Piscina Aquecida c/ Hidromassagem. Garagem para Vários Carros. Acabamento Fino. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: wQsqelmBaB1wtrlm"
R$ 600.000,Endereço não informado,"Jardim Lima, Franca","250 m² tot.
4 quartos
2 ban.
2 vagas","Excelente imóvel, próximo a supermercados, fácil acesso ao centro, shopping e postos de combustível. &#xD; &#xD; - 250 m² de terreno&#xD; - 186 m² de área construída&#xD; - 4 Dormitórios, sendo 1 suíte&#xD; - Sala Ampla&#xD; - Cozinha e sala de jantar conjugadas&#xD; - 2 vagas de garagem cobertas&#xD; - Corredor lateral&#xD; - Cômodo de despejo nos fundos&#xD; - Armários na cozinha, dormitórios e banheiros&#xD; &#xD; João Paulo&#xD; (16) Ver dados - 31/08/2025"
R$ 1.550.000,Endereço não informado,"Parque dos Lima, Franca","145 m² tot.
3 quartos
4 ban.
3 vagas","3 Suítes sendo a Master c/ Closet. Sala de tv e Jantar Integrados. Ampla Sacada Gourmet. Cozinha com Despensa. Lavanderia. Porcelanato, Granito e Portas Brancas de Madeira c/ Isolamento Acústico. Área de Lazer Toda na Cobertura. Piscina c/ Borda Infinita, Salão de Festas, Movie Games, Playground. Área Fitness, Área Gourmet, Área Pub, Área Relax e Sauna. Coworking, Bike Sharing. 03 Garagens Cobertas (2 Paralelas e 1 Gaveta) Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: ohsik6079mR7DqrQ"
R$ 150.000,Endereço não informado,"Jardim Aeroporto II, Franca",250 m² tot.,"Terreno 250 m2 ( 10x25) Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: nNzoUqawny3UdGjJ"
R$ 650.000,Avenida São Vicente,"Franca, São Paulo","3 quartos
3 ban.
2 vagas","Oportunidade Única em Franca. Apresentamos esta linda residência, localizada em um dos melhores bairros da cidade, perfeita para quem busca conforto, segurança e qualidade de vida. Além de morar em uma casa incrível, você estará rodeado por excelentes vizinhos, em um ambiente acolhedor e tranquilo. Detalhes do imóvel. 3 dormitórios, sendo 1 suíte. Cozinha com armários planejados. Sala espaçosa. Banheiro social com nicho. Lavabo. Área de claridade. 2 vagas de garagem coberta com madeira e pé-direito alto. Corredor lateral. Lavanderia. Ampla área gourmet com churrasqueira e armários. Banheiro nos fundos. Quarto de despejo que pode virar um escritório ou despensa. Acabamento em porcelanato. Sistema de câmeras e cerca de segurança. Excelente padrão de acabamento. Terreno com 200m² Área construída de 180m² Aceitamos financiamento bancário. Também aceitamos carro ou terreno de menor valor como parte do pagamento. Não perca essa chance de viver bem. Entre em contato agora mesmo e venha conhecer pessoalmente sua nova casa dos sonhos"
R$ 700.000,Endereço não informado,"Estação, Franca","127 m² tot.
3 quartos
1 banheiro
3 vagas","Vende-se Apartamento na Estação com 3 Dormitórios, sendo 1 suíte - projeto completo de armários planejados, com requinte e bom gosto. Sala de tv, sala de jantar, cozinha planejada, lavabo, banheiro social, Varanda gourmet com churrasqueira inteira fechada em blindex. 127 mts2 de área útil. Condomínio com portaria 24hrs, elevadores, academia, salão de festas, Piscina no terraço, 03 vagas de garagem, portaria 24 horas."
R$ 500.000,Endereço não informado,"Centro, Franca","120 m² tot.
3 quartos
2 ban.
2 vagas","Apartamento com localização estratégica, ideal para quem busca conforto, segurança e praticidade no dia a dia. &#xD; &#xD; 3 Dormitórios, sendo 1 suíte com armários personalizados&#xD; Cozinha planejada &#xD; Sala ampla com 3 ambientes&#xD; Lavanderia e Despensa &#xD; Garagem para 2 veículos&#xD; &#xD; Portaria 24h e zelador &#xD; 2 Elevadores&#xD; Salão de festas&#xD; Quadra poliesportiva&#xD; Projeto para Playground e Espaço Fitness - 31/08/2025"
R$ 240.000,Avenida Rio Amazonas 1405,"Residencial Amazonas, Franca","54 m² tot.
2 quartos
1 banheiro
1 vaga",54m² 02 Dormitórios. Sala conjugada. Cozinha planejada. 01 Vaga de garagem. Área de lazer completa. Piscina Adulto e infantil. Playground. Quadra de esporte. Salão de festa. Churrasqueira. Condomínio Fiorentine - Residencial Amazonas
R$ 530.000,Endereço não informado,"Franca Pólo Club, Franca","250 m² tot.
3 quartos
2 ban.
4 vagas","Excelente Casa no Polo Clube&#xD; 03 dormitórios sendo: &#xD; 01 suite master com closet, penteadeira e ofurô&#xD; Pé direito alto&#xD; Garagem para 4 carros, sendo 2 vagas cobertas&#xD; Banheira de hidromassagem com cromoterapia&#xD; Lavanderia&#xD; Quintal com varal coberto&#xD; Sistema de segurança completo&#xD; Armários embutidos em todos os quartos, cozinha e lavanderia&#xD; Área gourmet com churrasqueira, fogão e forno a lenha&#xD; Forno e cooktop&#xD; Cortinas blackout em todos os quartos e sala de tv. &#xD; Sala com ambiente externo, ampla sacada&#xD; Casa rica em madeira e blindex. &#xD; Aquecimento solar e encanamento de água quente em todas as torneiras e duchas&#xD; Portões eletrônicos&#xD; Fiação instalada para Sistema de som ambiente - 31/08/2025"
R$ 360.000,Rua Serafin Borges do Val,"Jardim Noêmia, Franca","2 quartos
3 ban.
2 vagas","86m² de área privativa com ambientes planejados para o máximo conforto. 2 suítes modernas. Sala de tv e jantar integradas. Lavabo social. Cozinha prática e elegante. Garagem para 2 carros. Varanda gourmet perfeita para momentos especiais. Jardim de inverno que valoriza iluminação natural. Detalhes de fino acabamento em todo o imóvel, garantindo elegância e sofisticação. Excelente oportunidade por apenas R 360. 000, 00."
R$ 500.000,Endereço não informado,"Centro, Franca","120 m² tot.
3 quartos
2 ban.
2 vagas","Apartamento com localização estratégica, ideal para quem busca conforto, segurança e praticidade no dia a dia. &#xD; &#xD; 3 Dormitórios, sendo 1 suíte com armários personalizados&#xD; Cozinha planejada &#xD; Sala ampla com 3 ambientes&#xD; Lavanderia e Despensa &#xD; Garagem para 2 veículos&#xD; &#xD; Portaria 24h e zelador &#xD; 2 Elevadores&#xD; Salão de festas&#xD; Quadra poliesportiva&#xD; Projeto para Playground e Espaço Fitness - 31/08/2025"
R$ 700.000,Endereço não informado,"Estação, Franca","127 m² tot.
3 quartos
1 banheiro
3 vagas","Vende-se Apartamento na Estação com 3 Dormitórios, sendo 1 suíte - projeto completo de armários planejados, com requinte e bom gosto. Sala de tv, sala de jantar, cozinha planejada, lavabo, banheiro social, Varanda gourmet com churrasqueira inteira fechada em blindex. 127 mts2 de área útil. Condomínio com portaria 24hrs, elevadores, academia, salão de festas, Piscina no terraço, 03 vagas de garagem, portaria 24 horas."
R$ 600.000,Endereço não informado,"Residencial Palermo, Franca","200 m² tot.
3 quartos
2 ban.
2 vagas","Casa a venda no bairro Residencial Palermo&#xD; &#xD; 200 m² de terreno;&#xD; 159 m² de construção;&#xD; 3 dormitórios, sendo 1 suíte;&#xD; Sala e cozinha em ambientes integrados;&#xD; Cozinha com armários;&#xD; Armários nos banheiros;&#xD; 2 vagas de garagem;&#xD; Churrasqueira; - 31/08/2025"
R$ 340.000,Endereço não informado,"Prolongamento Jardim Ângela Rosa, Franca","125 m² tot.
2 quartos
2 ban.
2 vagas","2 Dormitórios sendo 1 Suíte. Sala de tv e Jantar Integrados. Cozinha c/Armários. Banheiros Amplos c/Armários. Lavanderia Coberta. Garagem para 2 Carros. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: 0dqqwxftoJwhBgiq"
R$ 200.000,Endereço não informado,"Franca, São Paulo","64 m² tot.
2 quartos
2 ban.
1 vaga",Procura apartamento com sacada perto de tudo acabou de achar sala cozinha 02 quartos 02 bq=anheiro sendo um suite lavanderia garagem para um carro - 31/08/2025
R$ 790.000,Endereço não informado,"Vila Nicácio, Franca","336 m² tot.
4 quartos
3 ban.
2 vagas","Linda casa à venda na Vila Nicácio, em excelente localização no bairro&#xD; 4 dormitórios sendo 2 suítes&#xD; Sala de estar&#xD; Sala de jantar&#xD; Cozinha ampla com armários&#xD; Área gourmet com piscina e churrasqueira&#xD; Escritório&#xD; Garagem coberta para 2 carros - 31/08/2025"
R$ 400.000,Endereço não informado,"Centro, Franca",227 m² tot.,"Aluga-se Centro - Terreno com área de 227 mts. 2, 10, 40mts de fachada e 21, 82 comprimento, local amplo e movimentado, com grande fluxo de veículos, ótima localização, área comercial, próximo ao Colégio William Carey. ^"
R$ 2.300.000,Endereço não informado,"Franca, São Paulo","99999 m² tot.
3 quartos
4 ban.","Luxo, conforto e exclusividade no prestigiado Condomínio Vila Piemonte. Ideal para quem busca morar com requinte, segurança e excelente localização. Ambientes sofisticados, pensados para proporcionar bem-estar e estilo de vida elevado. - 3 suítes (sendo 1 com closet), sala ampla, integração harmoniosa com área externa. - Ilha Gourmet, piscina com cascata e hidromassagem — perfeita para lazer e recepção. - Terreno de 360 m² | Área construída de 216 m² - Condomínio fechado com infraestrutura completa e valorização garantida."
R$ 650.000,Franca 1021,"Franca, São Paulo","200 m² tot.
3 quartos
2 ban.
3 vagas",Excelente Oportunidade! Casa Moderna em Terreno 10x20m com 150m² de Área Construída. - 03 dormitórios sendo 01 suíte com closet. - Sala Ampla. - Área gourmet. - Cozinha pé direito duplo. - Ilha Grande. - Lavanderia coberta. - 03 Vagas de garagem. Estuda Permuta! Aceita propostas com preferência para terrenos.
R$ 180.000,Franca 4100,"Chácara Espraiado, Franca","50 m² tot.
2 quartos
1 banheiro
1 vaga",Residencial Fremont. - 02 dormitórios. - Planejados na cozinha. - Piso porcelanato. - Vaga de garagem. - Lazer Completo
R$ 550.000,Endereço não informado,"Jardim Consolação, Franca","71 m² tot.
2 quartos
3 ban.
2 vagas","Novidade chegando em franca! &#xD; &#xD; lançamento: residencial folhas&#xD; no jardim consolação. &#xD; &#xD; Empreendimento está localizado em um bairro nobre da cidade de Franca. Em uma área privilegiada, com fácil acesso ás principais avenidas da cidade! &#xD; &#xD; Apartamentos com opções 2 e 3 quartos com suítes &#xD; Sala tv, cozinha living integrado, lavanderia e sacada. &#xD; &#xD; Elevadores&#xD; Portaria 24 horas &#xD; &#xD; unidades apartir de 550 mil&#xD; &#xD; Apartamentos de 70, 50m² a 154, 78 m². - 31/08/2025"
R$ 275.000,Rua Minas Gerais 457,"Vila Aparecida, Franca","77 m² tot.
3 quartos
2 ban.
2 vagas","Apartamento 77m² 03 dormitórios, sendo 01 suíte. Banheiro social. Cozinha. Lavanderia. Sala de tv. 02 Vagas cobertas. Próximo a Av. Presidente Vargas"
R$ 350.000,Rua Rio Janundá 1233,"Residencial Amazonas, Franca","87 m² tot.
2 quartos
2 ban.
2 vagas",2 quarto sendo um suite. Sala copa. Cozinha. Área gourmet. Área de serviço. 2 vagas de garagem. 87 mt de construção
R$ 990.000,rua Atílio salmazo,"São José, Franca","380 m² tot.
3 quartos
5 ban.
5 vagas","Segue um modelo de anúncio atrativo para redes sociais e portais imobiliários: - Sobrado Estilo Colonial – São José / Santos Agostinho. Terreno amplo: 400 m² Construção sólida: 250 m² 3 suítes, sendo 2 com closet. Área de lazer completa com piscina grande. Detalhes ricos em madeira – charme colonial. Casa com recuo e jardim na frente. Localização excelente, vizinhança tranquila e valorizada. Somente venda – oportunidade única! Precisa de pintura, ideal para personalizar ao seu gosto. Ótimo preço para vender rápido! Entre em contato agora e agende uma visita. Ver dados"
R$ 285.000,Endereço não informado,"Jardim Barão, Franca",270 m² tot.,"Terreno 270, 00 M2 10 x 27. Vizinhança Definida. Topografia Plana. Murado nas Laterais. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: P8e7Cbbewnvovsxi"
R$ 1.000.000,Endereço não informado,"Vila Santa Cruz, Franca","145 m² tot.
3 quartos
2 ban.
2 vagas","Vende-se Vilagio da Colina - Casa em condomínio fechado, são 3 dormitórios sendo 1 suíte, armários planejados, banheiro social, sala de tv, sala de jantar, lavabo, cozinha planejada, escritório, área gourmet com churrasqueira, lavanderia, quintal, garagem para 2 carros, piso de cerâmica, cobertura retrátil, condômino com área de lazer completa, piscina, quadra esportiva, salão de festa, playground, portaria 24 horas, ótima localização."
R$ 2.900.000,Rua Diógenes Marconi,"Vila Flores, Franca","714 m² tot.
4 quartos
6 ban.
6 vagas","Apresentamos este sobrado imponente à venda em Francasp, com excelente estrutura e versatilidade para uso residencial ou comercial. Com um terreno de 714m² e 593, 65m² de construção, o imóvel oferece conforto, amplitude e uma área de convivência completa. Pavimento Térreo. Hall de entrada com lavabo. Duas amplas salas integradas. Sala privativa com banheiro ideal para escritório. Cozinha espaçosa com móveis planejados. Despensa e lavanderia. Espaço gourmet com churrasqueira. Terraço com jardins, piscina, sauna e banheiro externo. Garagem coberta para até 6 veículos. Pavimento Superior. Mezanino com vista para as salas. Suíte master com amplo closet e banheiro com banheira de casal. Dois dormitórios com armários. Banheiro social com banheira individual. Suíte adicional com closet. Ideal para quem busca morar com conforto e estilo, ou investir em um espaço completo para clínicas, escritórios, coworkings ou empresas."
R$ 230.000,Endereço não informado,"Franca, São Paulo","62 m² tot.
2 quartos
2 ban.
2 vagas",Apartamento 02 quartos 01 sala 01 cozinha 02 banheiro sendo 01 suite 02 vagas de garagem - 31/08/2025
R$ 279.900,Endereço não informado,"Residencial Colina do Espraiado, Franca","65 m² tot.
2 quartos
2 ban.
2 vagas","Apartamento á venda &#xD; Colina do espraiado &#xD; &#xD; Amplo apartamento &#xD; proximo a avenida são vicente &#xD; &#xD; 2 dormitório, sendo uma suite &#xD; Cozinha com planejados &#xD; sala ampla &#xD; 2 vagas de garagem - 31/08/2025"
